conf,id,Ead,xV,xN,xH,Z,rmsd,rmaxsd,dminN,dminH,M,chi,q,mu,Eg,CNN,dCNN,CNS,dCNS,aminS,amaxS,aminN,amaxN,adispN,adispH,lmin,lmax
1N_1H_14x0_graphitic,0,0.6799117178608687,0.0,0.4464285714285714,0.4464285714285714,6,0.447602800195211,0.8072896776000027,8.57689751380006,nan,2,0.0,-0.005,0.008,0.115726,3.0,0.0,3.0,1.0,2.064107133886408,2.098193609835522,2.057163956757706,2.0999361851271168,3.1355421088750903,nan,1.4281088727654454,1.4308405953025498
1N_1H_14x0_graphitic,1,0.4684052793531374,0.0,0.4464285714285714,0.4464285714285714,6,0.40219749358954954,0.7577814811000003,5.152623254190114,nan,2,0.0,0.001,0.002,0.115726,3.0,0.0,3.0,1.0,2.0656446745968555,2.098346783665293,2.057163956757706,2.0999361851271168,2.899770029478557,nan,1.4277180323580891,1.4333711926446906
1N_1H_14x0_graphitic,2,0.6446460109173061,0.0,0.4464285714285714,0.4464285714285714,6,0.4008767602805232,0.7452113925000035,6.54737358359019,nan,2,0.0,-0.002,0.002,0.115726,3.0,0.0,3.0,1.0,2.066459752091798,2.0980520778360257,2.057163956757706,2.0999361851271168,2.9522224200426983,nan,1.4277180323580891,1.4314034226533057
1N_1H_14x0_graphitic,3,0.5854795164246256,0.0,0.4464285714285714,0.4464285714285714,6,0.24994872590761494,0.48161376520000054,7.563472192039531,nan,2,0.0,-0.001,0.007,0.115726,3.0,0.0,3.0,1.0,2.0690496656073187,2.0968243578151746,2.057163956757706,2.0999361851271168,2.8117947693808163,nan,1.427000258156507,1.4314034226533057
1N_1H_14x0_graphitic,4,0.6633321170702587,0.0,0.4464285714285714,0.4464285714285714,6,0.24885276958913574,0.4792563445500031,8.927041535658732,nan,2,0.0,0.0,-0.001,0.115726,3.0,0.0,3.0,1.0,2.0690491137097506,2.0965532785940253,2.057163956757706,2.0999361851271168,2.863854731033498,nan,1.4284753232956384,1.4309281436240984
1N_1H_14x0_graphitic,5,0.6398399924049172,0.0,0.4464285714285714,0.4464285714285714,6,0.029660648452299255,0.37370001034999856,6.223729074494242,nan,2,0.0,-0.001,0.004,0.115726,3.0,0.0,3.0,1.0,2.0713077860020666,2.096878359656011,2.057163956757706,2.0999361851271168,2.5138803381278723,nan,1.4292118084699441,1.4304906022025956
1N_1H_14x0_graphitic,6,0.6796543850922063,0.0,0.4464285714285714,0.4464285714285714,6,0.027758108865396303,0.37124701079999944,7.422309915733337,nan,2,0.0,-0.002,0.004,0.115726,3.0,0.0,3.0,1.0,2.0693878057709565,2.0966942449297394,2.057163956757706,2.0999361851271168,2.6279335332376785,nan,1.427000258156507,1.4308111148691325
1N_1H_14x0_graphitic,7,0.6461859309389103,0.0,0.4464285714285714,0.4464285714285714,6,0.030336141451539702,0.362058105900001,8.690801757879466,nan,2,0.0,0.0,0.001,0.115726,3.0,0.0,3.0,1.0,2.0704880602294193,2.0963277287918483,2.057163956757706,2.0999361851271168,2.5534116798714828,nan,1.4285154380941882,1.4308111148691325
1N_1H_14x0_graphitic,8,0.6693846365282294,0.0,0.4464285714285714,0.4464285714285714,6,0.039005509372216855,0.3628145414500006,9.895347875619537,nan,2,0.0,0.0,-0.002,0.115726,3.0,0.0,3.0,1.0,2.0703414082918146,2.0967859553348784,2.057163956757706,2.0999361851271168,2.6343543816180155,nan,1.4285154380941882,1.4306017344220965
1N_1H_14x0_graphitic,9,0.5765628650736536,0.0,0.4464285714285714,0.4464285714285714,6,0.24679054475645165,0.48189439335000017,7.9530337949468315,nan,2,0.0,-0.002,0.011,0.115726,3.0,0.0,3.0,1.0,2.0697248138067117,2.0969210335130883,2.057163956757706,2.0999361851271168,2.2784708729971745,nan,1.4270215740756287,1.429906904444473
